AnO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA.
2019,7,A Coruna,America,Argentina,491,4075,8.3
2019,7,Albacete,America,Argentina,36,230,6.4
2019,7,Alicante/Alacant,America,Argentina,874,7254,8.3
2019,7,Almeria,America,Argentina,188,1692,9
2019,7,Araba/alava,America,Argentina,39,300,7.7
2019,7,Asturias,America,Argentina,239,1840,7.7
2019,7,Badajoz,America,Argentina,30,198,6.6
2019,7,Barcelona,America,Argentina,9639,55906,5.8
2019,7,Bizkaia,America,Argentina,175,1225,7
2019,7,Burgos,America,Argentina,54,275,5.1
2019,7,Cantabria,America,Argentina,99,713,7.2
2019,7,Castellon/Castello,America,Argentina,125,850,6.8
2019,7,Caceres,America,Argentina,35,273,7.8
2019,7,Cadiz,America,Argentina,306,2203,7.2
2019,7,Cordoba,America,Argentina,66,482,7.3
2019,7,Gipuzkoa,America,Argentina,366,2672,7.3
2019,7,Girona,America,Argentina,664,4582,6.9
2019,7,Granada,America,Argentina,293,2051,7
2019,7,Guadalajara,America,Argentina,58,348,6
2019,7,Huelva,America,Argentina,39,328,8.4
2019,7,Huesca,America,Argentina,59,354,6
2019,7,Illes Balears,America,Argentina,3866,29768,7.7
2019,7,La Rioja,America,Argentina,43,288,6.7
2019,7,Las Palmas,America,Argentina,237,1612,6.8
2019,7,Leon,America,Argentina,72,576,8
2019,7,Lleida,America,Argentina,79,537,6.8
2019,7,Lugo,America,Argentina,95,713,7.5
2019,7,Madrid,America,Argentina,12154,57124,4.7
2019,7,Murcia,America,Argentina,147,1264,8.6
2019,7,Malaga,America,Argentina,1412,11437,8.1
2019,7,Navarra,America,Argentina,153,1102,7.2
2019,7,Ourense,America,Argentina,69,600,8.7
2019,7,Pontevedra,America,Argentina,267,2243,8.4
2019,7,Salamanca,America,Argentina,90,675,7.5
2019,7,Santa Cruz de Tenerife,America,Argentina,177,1487,8.4
2019,7,Segovia,America,Argentina,70,392,5.6
2019,7,Sevilla,America,Argentina,324,2300,7.1
2019,7,Tarragona,America,Argentina,410,3198,7.8
2019,7,Toledo,America,Argentina,170,748,4.4
2019,7,Total Nacional,America,Argentina,34780,211712,6.1
2019,7,Valencia/València,America,Argentina,707,5373,7.6
2019,7,Valladolid,America,Argentina,58,406,7
2019,7,Zaragoza,America,Argentina,101,828,8.2
2019,7,avila,America,Argentina,35,235,6.7
2019,8,A Coruna,America,Argentina,607,6070,10
2019,8,Alicante/Alacant,America,Argentina,1088,12186,11.2
2019,8,Almeria,America,Argentina,203,2355,11.6
2019,8,Araba/alava,America,Argentina,49,475,9.7
2019,8,Asturias,America,Argentina,315,3024,9.6
2019,8,Badajoz,America,Argentina,45,356,7.9
2019,8,Barcelona,America,Argentina,10372,71567,6.9
2019,8,Bizkaia,America,Argentina,249,2166,8.7
2019,8,Burgos,America,Argentina,58,458,7.9
2019,8,Cantabria,America,Argentina,133,1051,7.9
2019,8,Castellon/Castello,America,Argentina,168,1478,8.8
2019,8,Cuenca,America,Argentina,39,179,4.6
